LSA_ID,ICM_PML_Bv6__PML_39_2003_01_13,ICM_PML_Bv6__PML_40_2003_03_31,ICM_PML_Bv6__PML_41_2003_04_28,ICM_PML_Bv6__PML_42_2003_05_26,ICM_PML_Bv6__PML_43_2003_06_09,ICM_PML_Bv6__PML_44_2003_07_07,ICM_PML_Bv6--PML_45_2003_07_21,ICM_PML_Bv6__PML_46_2003_08_04,ICM_PML_Bv6--PML_47_2003_08_25,ICM_PML_Bv6__PML_48_2003_09_29,ICM_PML_Bv6__PML_49_2003_10_06,ICM_PML_Bv6__PML_50_2003_12_08,ICM_PML_Bv6__PML_51_2004_03_01,ICM_PML_Bv6__PML_52_2004_03_15,ICM_PML_Bv6__PML_53_2004_05_03,ICM_PML_Bv6__PML_54_2004_05_31,ICM_PML_Bv6__PML_55_2004_06_14,ICM_PML_Bv6--PML_56_2004_06_21,ICM_PML_Bv6__PML_57_2004_07_26,ICM_PML_Bv6__PML_58_2004_08_23,ICM_PML_Bv6__PML_59_2004_10_04,ICM_PML_Bv6__PML_60_2004_10_25,ICM_PML_Bv6--PML_61_2004_12_06,ICM_PML_Bv6__PML_62_2004_12_20,ICM_PML_Bv6__PML_63_2005_01_24,ICM_PML_Bv6__PML_64_2005_02_28,ICM_PML_Bv6__PML_65_2005_04_18,ICM_PML_Bv6__PML_66_2005_05_04,ICM_PML_Bv6__PML_67_2005_06_06,ICM_PML_Bv6--PML_68_2005_06_20,ICM_PML_Bv6__PML_69_2005_07_25,ICM_PML_Bv6__PML_70_2005_08_15,ICM_PML_Bv6__PML_71_2005_09_19,ICM_PML_Bv6__PML_72_2005_10_17,ICM_PML_Bv6__PML_73_2005_11_15,ICM_PML_Bv6__PML_74_2005_12_05,ICM_PML_Bv6__PML_75_2006_01_03,ICM_PML_Bv6__PML_76_2006_03_06,ICM_PML_Bv6__PML_77_2006_03_20,ICM_PML_Bv6__PML_78_2006_04_11,ICM_PML_Bv6__PML_79_2006_05_04,ICM_PML_Bv6__PML_80_2006_06_06,ICM_PML_Bv6--PML_81_2006_06_27,ICM_PML_Bv6__PML_82_2006_07_17,ICM_PML_Bv6__PML_83_2006_08_22,ICM_PML_Bv6__PML_84_2006_09_12,ICM_PML_Bv6__PML_85_2006_10_30,ICM_PML_Bv6__PML_86_2006_12_12,ICM_PML_Bv6__PML_0001_2007_02_16,ICM_PML_Bv6__PML_0002_2007_03_07,ICM_PML_Bv6--PML_0003_2007_03_26,ICM_PML_Bv6__PML_0004_2007_04_23,ICM_PML_Bv6__PML_0005_2007_05_08,ICM_PML_Bv6__PML_0006_2007_06_04,ICM_PML_Bv6--PML_0007_2007_06_25,ICM_PML_Bv6__PML_0008_2007_07_30,ICM_PML_Bv6__PML_0009_2007_08_20,ICM_PML_Bv6__PML_0010_2007_09_29,ICM_PML_Bv6__PML_0011_2007_10_25,ICM_PML_Bv6__PML_0012_2007_12_12,ICM_PML_Bv6__PML_0017_2008_02_20,ICM_PML_Bv6__PML_0018_2008_03_05,ICM_PML_Bv6--PML_0019_2008_03_17,ICM_PML_Bv6__PML_0020_2008_04_21,ICM_PML_Bv6__PML_0021_2008_05_06,ICM_PML_Bv6__PML_0022_2008_06_02,ICM_PML_Bv6--PML_0023_2008_06_23,ICM_PML_Bv6__PML_0024_2008_07_21,ICM_PML_Bv6__PML_0025_2008_08_20,ICM_PML_Bv6__PML_0026_2008_09_22,ICM_PML_Bv6__PML_0027_2008_10_27,ICM_PML_Bv6__PML_0028_2008_12_08
Daylength,8.2083,12.625,14.3167,15.6667,16.0667,16.0167,,14.95,,11.65,11.2167,7.9833,61,11.6667,14.6333,15.8583,16.1583,,15.3417,13.8667,11.2917,10,,7.8167,8.6917,10.7,13.7583,14.675,16.0167,,15.4,14.3417,12.2417,10.5,8.85,8.05,7.9417,11.0583,11.95,13.325,14.6583,16.0083,,15.7167,13.9583,12.6917,9.7333,7.9,9.9333,11.1083,,14.025,14.8667,15.95,,15.1917,14.0833,11.65,10.05,7.9083,10.1583,11.0333,,13.9583,14.8,15.925,,15.55,14.0417,12.0333,9.8833,7.9667
DX1,0.922639549,-0.150055398,-0.591261445,-0.897743394,-0.976938493,-0.964614176,,-0.732494072,,0.141540295,0.259511797,0.975064532,0.341570769,0.107381347,-0.671259958,-0.938377392,-0.99374658,,-0.819014887,-0.459732739,0.242849722,0.570242293,,1,0.833555772,0.373719715,-0.444378178,-0.671259958,-0.964614176,,-0.838279705,-0.591261445,-0.030120305,0.436651232,0.814046094,0.962309077,0.975064532,0.276096973,0.038722281,-0.333468779,-0.671259958,-0.964614176,,-0.90519319,-0.490028666,-0.150055398,0.625410573,0.988022666,0.556017437,0.259511797,,-0.519743812,-0.72066715,-0.954966755,,-0.788305056,-0.519743812,0.141540295,0.556017437,0.988022666,0.497513289,0.276096973,,-0.504961055,-0.708626678,-0.949717843,,-0.865307254,-0.504961055,0.038722281,0.598180914,0.97874008
DX2,0.385663406,0.98867759,0.806479946,0.440518784,0.213520915,-0.263665493,,-0.680773409,,-0.989932495,-0.965739938,-0.221921513,0.939856058,0.994217907,0.741222011,0.345612313,0.111659007,,-0.573772268,-0.888057323,-0.970063922,-0.821476553,,-2.45E-16,0.552435313,0.927541684,0.895839291,0.741222011,0.263665493,,-0.545240439,-0.806479946,-0.999546281,-0.89963087,-0.580800273,-0.271958158,0.221921513,0.961129784,0.999250011,0.942761143,0.741222011,0.263665493,,-0.42500034,-0.871706319,-0.98867759,-0.780295851,-0.154308821,0.831170626,0.965739938,,0.85432217,0.693281227,0.296712819,,-0.6152846,-0.85432217,-0.989932495,-0.831170626,-0.154308821,0.867456355,0.961129784,,0.863142128,0.70558361,0.313107041,,-0.501241813,-0.863142128,-0.999250011,-0.801361088,-0.2051045
PAR,6.050633,19.502931,37.820348,40.996234,55.574582,32.838082,,41.391626,,15.694193,13.907429,5.29436,0.939856058,17.605062,43.787078,42.983599,55.983087,,46.732423,37.659139,24.699502,14.514275,,4.74094,7.264992,11.792995,31.058395,44.898318,33.284503,,56.063043,45.733194,21.96395,11.550892,5.838671,6.442494,3.609637,12.734438,16.389902,39.176919,47.641342,53.918564,,53.642605,30.370247,19.907993,11.156911,3.808281,10.235319,12.985913,,25.522752,28.733078,55.028612,,43.872697,40.626693,16.848049,9.042507,6.448464,13.068089,17.104595,,32.786905,14.8,15.925,,15.55,14.0417,23.81776,12.983092,8.237889
NAO,0.15,1.34,1.08,-1.74,1.17,-0.86,,-0.99,,-3.68,0.31,-0.85,21.650486,-1.23,1.07,1.08,-0.67,,-0.3,-0.76,2.51,-2.18,,1.27,1.82,-2.25,-1.29,0.71,-0.13,,-0.08,0.94,0.5,-0.45,-1.01,-0.81,-0.1,-1.24,-1.12,0.57,-0.22,-0.41,,-2.47,-1.02,-1.97,1.7,3.08,1.77,0.42,,-0.1,0.62,-3.34,,-3.41,-1.18,-0.02,-1.67,1.42,1.77,0.42,,-0.1,0.62,-3.34,,-3.41,-1.18,-0.02,-1.67,1.42
PP,102.6286163,179.6954818,381.9374238,924.6088136,583.2525382,975.368731,,1735.402483,,198.0910591,149.339229,45.84089648,133.8003893,180.4259212,592.8500444,488.7574632,760.7024269,,589.2313514,717.7223099,363.613401,332.558004,,36.85118369,52.50073814,81.86614088,344.7628032,1383.41498,534.5676225,,1345.377903,867.7746034,289.2639781,114.5723922,193.7142906,136.8846201,35.97770018,181.1933617,103.6351673,921.0513842,640.5158122,1455.055952,,1315.221812,505.4514522,596.7291203,380.702563,112.6617867,74.2326181,116.162509,,411.1160555,272.7636302,538.89962,,772.6901187,596.6581942,172.251217,80.46517807,52.32511019,53.05294088,78.88307772,,85.44911406,189.6088255,311.7235247,,2306.948536,383.8508045,217.1070079,243.9507779,118.9950035
MLD,10,23.5,27,8.5,14,8.5,,6,,31.5,31.5,31.5,32,16.5,14,15,10,,11.5,17,20,9,,32,32.5,27.5,22.5,5,13.5,,9.5,11,27.5,31.5,7,9,30.5,14.5,31,6.5,15,5.5,,8.5,19,11.5,8.5,5.5,26.5,26,,16,26,23,,15.5,18.5,34,33,33.5,31,22,,29,15,8,,1.2,13,27,18.5,30.5
NH4,0.03,0.18,0.24,0.29,0.34,0.28,,0.22,,0.55,0.63,0,32,0,0,0,0,,0,0,0,0,,0.07,0.19,0.03,0.36,0.14,0.09,,0.29,0.13,0,0,0.12,0.13,0.25,0.46,0.69,0.48,0.37,0.57,,0.26,0.39,1.24,0.79,0.22,0.14,0.42,,0.03,0.23,0.32,,0.8,0.26,0.11,0.23,0.35,0.06,0.06,,0.01,0.001,0,,0.01,0.23,0.12,1.48,0.26
ChlA,0.74,1.34,4.76,2.11,0.41,1.68,,3.6,,1.76,1.09,0.75,0,0.72,1.41,0.8,0.3,,0.21,2.95,1.91,0.84,,0.53,0.63,0.63,3.01,2.35,1.43,,2.97,0.94,1.56,0.73,1.32,0.73,1.59,2.19,0.98,2.74,3.08,1.23,,1.05,1.98,2.38,2.02,0.6,0.44,1,,2.53,1.24,1.39,,2.22,1.68,1.03,0.48,0.46,0.65,0.75,,1.02,1.57,0.62,,3.43,2.23,1.97,0.91,0.42
NO2_NO3,12.21,3.29,1.05,0.05,0.05,0.04,,0.06,,3.41,1.86,6.13,0.76,8.12,0.13,0.17,0.45,,0.03,1.96,6.07,10.32,,6.85,9.5,8.73,5.53,0.53,0.55,,0.11,0.5,0.89,3.05,9.71,6.05,7.38,6.98,5.8,0.3,0.32,0.27,,0.16,0.54,0.2,7.19,5.2,5.29,7.41,,1.52,0.05,0.6,,0.05,1.96,1.62,3.49,7.98,7.13,7.78,,4.44,0.04,0,,0.01,0.1,2.1,5.68,5.94
Temp,9.31,9.27,9.55,12.25,14.19,16.56,,15.84,,16.08,15.2,12.04,0.43,9.02,12,12.24,15.6,,16.52,16.03,14.03,13.54,,11.83,10.55,8.61,9.93,10.93,13,,14.79,16.33,16.48,15.22,13.35,11.74,10.61,7.54,7.42,8.49,9.99,13.52,,17.74,15.93,17.23,15.16,11.55,10.08,10.27,,11.8,12.434,13.992,,15.541,15.51,15.96,15.371,13.876,9.6667,9.4759,,9.6972,11.4888,14.4819,,14.809,15.3661,14.6221,14.312,11.222
TOC,12.47166667,13.54,33.215,19.7975,27.44416667,35.6,,49.43666667,,31.96666667,18.73666667,11.92,9.16,13.54,33.215,19.7975,16.265,,24.20666667,28.24916667,19.88833333,15.565,,29.97416667,11.9775,12.13166667,24.4275,25.96916667,24.42416667,,24.82333333,29.04916667,19.02833333,10.2625,11.83666667,19.2475,22.8225,14.30416667,10.88,31.11416667,23.735,24.08,,18.03833333,22.60083333,38.03666667,20.955,12.04416667,27.53916667,29.07416667,,23.1675,27.515,47.2575,,39.1825,18.92083333,30.02416667,15.76666667,12.42,22.5,9.75,,23.16666667,25.5,16.16666667,,21.9025,40.86666667,12.105,24.19333333,41.57166667
TON,1.347857143,1.367857143,2.818571429,1.889285714,3.022857143,3.804285714,,5.041428571,,4.022857143,1.682857143,0.782857143,12.47166667,1.367857143,2.818571429,1.889285714,1.938571429,,2.656428571,3.564285714,2.171428571,1.636428571,,2.946428571,1.395,1.290714286,3.217142857,3.105,2.567857143,,2.776428571,3.034285714,2.518571429,1.450714286,1.335714286,1.666428571,2.277857143,1.58,1.215,4.283571429,2.620714286,2.578571429,,2.38,2.817857143,4.193571429,2.091428571,1.049285714,2.048571429,2.923571429,,3.035714286,3.112142857,4.149285714,,3.747857143,1.93,2.556428571,1.482857143,1.170714286,2.571428571,1.428571429,,2.714285714,2.642857143,2.642857143,,1.33,2.34,0.941428571,2.078571429,2.831428571
